source,source_id,file_path,page_count,sha256,content_type,downloaded_at,title,metadata_json
sec_edgar,0001165527-14-000468/ex10-75.pdf,/data/corpus_sec/sec_edgar/0001165527-14-000468/ex10-75.pdf,2,3ba6fc655dd0ccbd9d7d342d1bffb1ee25f2281b5a1d99df8ec3222ff3c78cd1,application/pdf,2026-05-06T14:50:02.685214Z,Baron Energy Inc.  (CIK 0001410012) 8-K — ex10-75.pdf,"{""cik"": ""0001410012"", ""accession_no"": ""0001165527-14-000468"", ""form"": ""8-K"", ""company"": ""Baron Energy Inc.  (CIK 0001410012)"", ""query"": ""\""oil and gas lease\""""}"
sec_edgar,0001211524-10-000052/adobe8kprovidence.pdf,/data/corpus_sec/sec_edgar/0001211524-10-000052/adobe8kprovidence.pdf,14,a8d43b2594d8aaca2d464122c8f1c27aaa791203b961423b5f6f98f2b1910c43,application/pdf,2026-05-06T14:50:30.873423Z,PROVIDENCE RESOURCES INC  (CIK 0001112064) 8-K — adobe8kprovidence.pdf,"{""cik"": ""0001112064"", ""accession_no"": ""0001211524-10-000052"", ""form"": ""8-K"", ""company"": ""PROVIDENCE RESOURCES INC  (CIK 0001112064)"", ""query"": ""\""oil and gas lease\""""}"
sec_edgar,0001090002-05-000128/exhibit102psa.pdf,/data/corpus_sec/sec_edgar/0001090002-05-000128/exhibit102psa.pdf,34,608aa3ac249f4fa33df79ba937287a11be6e40a569fd2b79158b4061db84738c,application/pdf,2026-05-06T16:13:48.514456Z,CAPCO ENERGY INC  (CIK 0000354767) 8-K — exhibit102psa.pdf,"{""cik"": ""0000354767"", ""accession_no"": ""0001090002-05-000128"", ""form"": ""8-K"", ""company"": ""CAPCO ENERGY INC  (CIK 0000354767)"", ""query"": ""\""oil and gas lease\""""}"
sec_edgar,0001096906-12-000984/ex10-69.pdf,/data/corpus_sec/sec_edgar/0001096906-12-000984/ex10-69.pdf,7,5059eca6e44d663c37213965762e9e989d85c4eb27aa1517747f9b2a34e69c62,application/pdf,2026-05-06T16:16:26.582669Z,"WORTHINGTON ENERGY, INC.  (CIK 0001342643) 10-K — ex10-69.pdf","{""cik"": ""0001342643"", ""accession_no"": ""0001096906-12-000984"", ""form"": ""10-K"", ""company"": ""WORTHINGTON ENERGY, INC.  (CIK 0001342643)"", ""query"": ""\""oil and gas lease\""""}"
sec_edgar,0001024626-09-000010/cbis-10qsept09aa.pdf,/data/corpus_sec/sec_edgar/0001024626-09-000010/cbis-10qsept09aa.pdf,29,c5f9b45fb0b443aca46ffb7299d4c0df8bdb7bf49bb60c683fe5a5c5766eef4b,application/pdf,2026-05-06T16:21:05.016297Z,"CANNABIS SCIENCE, INC.  (CIK 0001024626) 10-Q — cbis-10qsept09aa.pdf","{""cik"": ""0001024626"", ""accession_no"": ""0001024626-09-000010"", ""form"": ""10-Q"", ""company"": ""CANNABIS SCIENCE, INC.  (CIK 0001024626)"", ""query"": ""\""oil and gas lease\""""}"
sec_edgar,0000313395-05-000066/txco10q.pdf,/data/corpus_sec/sec_edgar/0000313395-05-000066/txco10q.pdf,24,04b2349329d5c6ad28ae0125a0d99597338f6fa0dede1fd51f7d157a011e1f68,application/pdf,2026-05-06T16:21:12.121913Z,EXPLORATION CO OF DELAWARE INC  (CIK 0000313395) 10-Q — txco10q.pdf,"{""cik"": ""0000313395"", ""accession_no"": ""0000313395-05-000066"", ""form"": ""10-Q"", ""company"": ""EXPLORATION CO OF DELAWARE INC  (CIK 0000313395)"", ""query"": ""\""oil and gas lease\""""}"
sec_edgar,0001017386-11-000192/exhibit_10-1.pdf,/data/corpus_sec/sec_edgar/0001017386-11-000192/exhibit_10-1.pdf,5,3c7784980397ac3a65134ee607fc8f68dc02b8e74962dff565fc3e9fe7278324,application/pdf,2026-05-06T16:22:15.254994Z,New Western Energy Corp  (CIK 0001479488) 8-K/A — exhibit_10-1.pdf,"{""cik"": ""0001479488"", ""accession_no"": ""0001017386-11-000192"", ""form"": ""8-K/A"", ""company"": ""New Western Energy Corp  (CIK 0001479488)"", ""query"": ""\""oil and gas lease\""""}"
sec_edgar,0001077048-07-000511/ex99-2_brochure.pdf,/data/corpus_sec/sec_edgar/0001077048-07-000511/ex99-2_brochure.pdf,4,52a7544eb884cad04cfc0d02e83726a183a088ea42ff1873fba3b7e31e0ff117,application/pdf,2026-05-06T16:23:21.326346Z,"EnerJex Resources, Inc.  (UAVS)  (CIK 0000008504) 8-K — ex99-2_brochure.pdf","{""cik"": ""0000008504"", ""accession_no"": ""0001077048-07-000511"", ""form"": ""8-K"", ""company"": ""EnerJex Resources, Inc.  (UAVS)  (CIK 0000008504)"", ""query"": ""\""oil and gas lease\""""}"
sec_edgar,0001162677-02-000023/aa2.pdf,/data/corpus_sec/sec_edgar/0001162677-02-000023/aa2.pdf,10,b9b3833ff6f3ed0b25a9bdeff98d443a3e7b2cf225b72a46a5c702a6adacd1d0,application/pdf,2026-05-06T16:23:30.196286Z,TRI VALLEY CORP  (CIK 0000022551) 10-Q — aa2.pdf,"{""cik"": ""0000022551"", ""accession_no"": ""0001162677-02-000023"", ""form"": ""10-Q"", ""company"": ""TRI VALLEY CORP  (CIK 0000022551)"", ""query"": ""\""oil and gas lease\""""}"
sec_edgar,0000945764-23-000097/den-20230713.pdf,/data/corpus_sec/sec_edgar/0000945764-23-000097/den-20230713.pdf,98,7f7587219177da906c51b13fb70a696030c68b434821d7fae9261d2fc507c20f,application/pdf,2026-05-06T16:24:44.452469Z,DENBURY INC  (CIK 0000945764) 8-K — den-20230713.pdf,"{""cik"": ""0000945764"", ""accession_no"": ""0000945764-23-000097"", ""form"": ""8-K"", ""company"": ""DENBURY INC  (CIK 0000945764)"", ""query"": ""\""oil and gas lease\""""}"
sec_edgar,0000945764-23-000102/den-20230713.pdf,/data/corpus_sec/sec_edgar/0000945764-23-000102/den-20230713.pdf,99,7db8972efeee0ecdd042bfa13c8c1e31f95db2ce63b3938d9bf0dc102e508d0f,application/pdf,2026-05-06T16:24:57.410975Z,DENBURY INC  (CIK 0000945764) 8-K/A — den-20230713.pdf,"{""cik"": ""0000945764"", ""accession_no"": ""0000945764-23-000102"", ""form"": ""8-K/A"", ""company"": ""DENBURY INC  (CIK 0000945764)"", ""query"": ""\""oil and gas lease\""""}"
sec_edgar,0001193125-12-070408/d282676d10k1.pdf,/data/corpus_sec/sec_edgar/0001193125-12-070408/d282676d10k1.pdf,167,df68ddd1039e02a566bcce97a0a793d0cab9fd663bad6c9c15ca727a0f3ca9d4,application/pdf,2026-05-06T16:25:01.542193Z,ANADARKO PETROLEUM CORP  (CIK 0000773910) 10-K — d282676d10k1.pdf,"{""cik"": ""0000773910"", ""accession_no"": ""0001193125-12-070408"", ""form"": ""10-K"", ""company"": ""ANADARKO PETROLEUM CORP  (CIK 0000773910)"", ""query"": ""\""oil and gas lease\""""}"
sec_edgar,0000077159-03-000121/pva10q0603.pdf,/data/corpus_sec/sec_edgar/0000077159-03-000121/pva10q0603.pdf,36,e0d93cb22586375b488834b78e6916d031ff736828155b8c81a85c6b8937c86e,application/pdf,2026-05-06T16:26:02.360147Z,PENN VIRGINIA CORP  (CIK 0000077159) 10-Q — pva10q0603.pdf,"{""cik"": ""0000077159"", ""accession_no"": ""0000077159-03-000121"", ""form"": ""10-Q"", ""company"": ""PENN VIRGINIA CORP  (CIK 0000077159)"", ""query"": ""\""oil and gas lease\""""}"
sec_edgar,0001017386-11-000194/exhibit10-1.pdf,/data/corpus_sec/sec_edgar/0001017386-11-000194/exhibit10-1.pdf,5,2ac1f1c429350e9a957b83cfdd1d45a1b5739eff7cdf7b86ef320e88bfaf29c7,application/pdf,2026-05-06T16:26:54.714392Z,New Western Energy Corp  (CIK 0001479488) 8-K/A — exhibit10-1.pdf,"{""cik"": ""0001479488"", ""accession_no"": ""0001017386-11-000194"", ""form"": ""8-K/A"", ""company"": ""New Western Energy Corp  (CIK 0001479488)"", ""query"": ""\""oil and gas lease\""""}"
sec_edgar,0001077048-04-000165/ex99-2.pdf,/data/corpus_sec/sec_edgar/0001077048-04-000165/ex99-2.pdf,8,99d8b08e6469f0aaf2ad3faca86d7098c9845b6c6230221b19d8234033267555,application/pdf,2026-05-06T16:29:02.666995Z,PETROL OIL & GAS INC  (CIK 0001109348) 8-K — ex99-2.pdf,"{""cik"": ""0001109348"", ""accession_no"": ""0001077048-04-000165"", ""form"": ""8-K"", ""company"": ""PETROL OIL & GAS INC  (CIK 0001109348)"", ""query"": ""\""mineral lease\""""}"
sec_edgar,0000313395-06-000045/txco10k5.pdf,/data/corpus_sec/sec_edgar/0000313395-06-000045/txco10k5.pdf,62,b30b1fd8154c30f8a363ed5b3c396b7acfe8260a3fdf099b3e4a0bb6793764fe,application/pdf,2026-05-06T16:36:10.867672Z,EXPLORATION CO OF DELAWARE INC  (CIK 0000313395) 10-K — txco10k5.pdf,"{""cik"": ""0000313395"", ""accession_no"": ""0000313395-06-000045"", ""form"": ""10-K"", ""company"": ""EXPLORATION CO OF DELAWARE INC  (CIK 0000313395)"", ""query"": ""\""mineral lease\""""}"
sec_edgar,0001102709-09-000021/cbis-10qajun09.pdf,/data/corpus_sec/sec_edgar/0001102709-09-000021/cbis-10qajun09.pdf,28,15d0de22f82a559d5cca16cbb765decda020e547f8b8e98a065ff3635140c75d,application/pdf,2026-05-06T16:36:54.535917Z,"CANNABIS SCIENCE, INC.  (CIK 0001024626) 10-Q/A — cbis-10qajun09.pdf","{""cik"": ""0001024626"", ""accession_no"": ""0001102709-09-000021"", ""form"": ""10-Q/A"", ""company"": ""CANNABIS SCIENCE, INC.  (CIK 0001024626)"", ""query"": ""\""mineral lease\""""}"
sec_edgar,0001102709-09-000020/cbis-10qjun09.pdf,/data/corpus_sec/sec_edgar/0001102709-09-000020/cbis-10qjun09.pdf,27,1faf44e787237629eaebe53148106e20ddc427d8673a82b6f360bbd5b39fdc01,application/pdf,2026-05-06T16:36:57.708993Z,"CANNABIS SCIENCE, INC.  (CIK 0001024626) 10-Q — cbis-10qjun09.pdf","{""cik"": ""0001024626"", ""accession_no"": ""0001102709-09-000020"", ""form"": ""10-Q"", ""company"": ""CANNABIS SCIENCE, INC.  (CIK 0001024626)"", ""query"": ""\""mineral lease\""""}"
sec_edgar,0001175710-04-000053/csw10k.pdf,/data/corpus_sec/sec_edgar/0001175710-04-000053/csw10k.pdf,92,e59a475befb7195f936bd9630b8c86ded3a4871c194f48a89afa9b3a9a09e5e4,application/pdf,2026-05-06T16:37:22.605264Z,CANADA SOUTHERN PETROLEUM LTD  (CIK 0000016804) 10-K — csw10k.pdf,"{""cik"": ""0000016804"", ""accession_no"": ""0001175710-04-000053"", ""form"": ""10-K"", ""company"": ""CANADA SOUTHERN PETROLEUM LTD  (CIK 0000016804)"", ""query"": ""\""mineral lease\""""}"
